,Hour,RMSEnn_rmse,RMSEnn_acc,RMSEnn_taskloss,Taskloss_rmse,Taskloss_acc,Taskloss_taskloss
0,0,0.06814262270927429,0.9753025770187378,2.3600154,0.18440112471580505,1.1131713390350342,0.1049464
1,1,0.06709414720535278,0.9748443961143494,2.2835567,0.17357397079467773,1.1130810976028442,0.09764429
2,2,0.058823660016059875,0.9841304421424866,1.7486311,0.1684029996395111,1.113670825958252,0.093981154
3,3,0.056650787591934204,0.9876406788825989,1.5577838,0.1548568606376648,1.1068850755691528,0.0851597
4,4,0.0536436066031456,0.9912852644920349,1.3767093,0.1608201265335083,1.1125682592391968,0.08902806
5,5,0.05458579584956169,0.9898035526275635,1.438007,0.15524044632911682,1.1075139045715332,0.085244335
6,6,0.06196409463882446,0.9823962450027466,1.8886073,0.1766897737979889,1.118976354598999,0.099615544
7,7,0.07930535823106766,0.9734823107719421,2.6958416,0.20507968962192535,1.1299055814743042,0.118335046
8,8,0.08707881718873978,0.9688262939453125,3.1392267,0.21102648973464966,1.1267797946929932,0.12176798
9,9,0.09295836836099625,0.9634312391281128,3.5358675,0.20557282865047455,1.1174463033676147,0.11728552
10,10,0.08904796838760376,0.9660558700561523,3.3630214,0.20890909433364868,1.1144822835922241,0.12106221
11,11,0.09568560123443604,0.962009608745575,3.712025,0.22306983172893524,1.118057131767273,0.13140914
12,12,0.09423480927944183,0.9661028385162354,3.4706013,0.2279159426689148,1.1174910068511963,0.13638431
13,13,0.09609679877758026,0.9687512516975403,3.3874192,0.24128635227680206,1.12193763256073,0.14417619
14,14,0.10207702219486237,0.9669984579086304,3.615509,0.2538580596446991,1.1266623735427856,0.14922167
15,15,0.10773508995771408,0.9657905101776123,3.8154585,0.26930612325668335,1.1356438398361206,0.16045246
16,16,0.110985666513443,0.9673030376434326,3.803798,0.26797977089881897,1.134209156036377,0.15901743
17,17,0.11538255214691162,0.9728306531906128,3.5777206,0.27373796701431274,1.1348565816879272,0.16048299
18,18,0.1152195855975151,0.9741721749305725,3.5847185,0.27969154715538025,1.1366583108901978,0.16593723
19,19,0.11366818100214005,0.97139573097229,3.7106678,0.2738725543022156,1.1342265605926514,0.16048124
20,20,0.10332947224378586,0.9797914028167725,3.0703425,0.24557644128799438,1.119338035583496,0.1383283
21,21,0.09689173102378845,0.985501229763031,2.6209576,0.240332692861557,1.1198095083236694,0.13650526
22,22,0.09153871238231659,0.9829651117324829,2.6188145,0.24168872833251953,1.1236724853515625,0.13842289
23,23,0.08829765021800995,0.9765204787254333,2.780295,0.21344129741191864,1.1161155700683594,0.11947538
