,Model,Training RMSE,Training Accuracy,Training Task Loss,Test RMSE,Test Accuracy,Test Task Loss
0,RMSE NN,0.12504024397243152,0.9971385533159429,64.49979619112882,0.3393316443517059,0.9514257237315178,108.32286
1,Task Loss,0.27286290986971423,1.145779962973161,4.688636836138639,0.4427068315274814,1.1048154433568318,3.047316
